name,born_date,born_location,description
Albert Einstein,"March 14, 1879","in Ulm, Germany","In 1879, Albert Einstein was born in Ulm,"
J.K. Rowling,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom",See also: Robert GalbraithAlthough she wr
Jane Austen,"December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom",Jane Austen was an English novelist whose
Marilyn Monroe,"June 01, 1926",in The United States,Marilyn Monroe (born Norma Jeane Mortenso
André Gide,"November 22, 1869","in Paris, France",André Paul Guillaume Gide was a French au
Thomas A. Edison,"February 11, 1847","in Milan, Ohio, The United States",Thomas Alva Edison was an American invent
Eleanor Roosevelt,"October 11, 1884",in The United States,Anna Eleanor Roosevelt was an American po
Steve Martin,"August 14, 1945","in Waco, Texas, The United States","Stephen Glenn ""Steve"" Martin is an Americ"
Bob Marley,"February 06, 1945","in Nine Mile, Saint Ann, Jamaica","Robert ""Bob"" Nesta Marley OM was a Jamaic"
Dr. Seuss,"March 02, 1904","in Springfield, MA, The United States",Theodor Seuss Geisel was born 2 March 190
Douglas Adams,"March 11, 1952","in Cambridge, England, The United Kingdom","Douglas Noël Adams was an English author,"
Elie Wiesel,"September 30, 1928","in Sighet, Romania",Eliezer Wiesel was a Romania-born America
Friedrich Nietzsche,"October 15, 1844","in Röcken bei Lützen, Prussian Province of Saxony, Germany",Friedrich Wilhelm Nietzsche (1844–1900) i
Mark Twain,"November 30, 1835","in Florida, Missouri, The United States","Samuel Langhorne Clemens, better known by"
Allen Saunders,"April 24, 1899",in The United States,"Allen Saunders was an American writer, jo"
Pablo Neruda,"July 12, 1904","in Parral, Chile","Pablo Neruda was the pen name and, later,"
Ralph Waldo Emerson,"May 25, 1803","in Boston, Massachusetts, The United States","in 1803, Ralph Waldo Emerson was born in"
Mother Teresa,"August 26, 1910","in Skopje, Macedonia, the Former Yugoslav Republic of","Blessed Teresa of Calcutta, or Mother Ter"
Garrison Keillor,"August 07, 1942","in Anoka, Minnesota, The United States",Garrison Keillor (born Gary Edward Keillo
Jim Henson,"September 24, 1936","in Greenville, Mississippi, The United States","James Maury ""Jim"" Henson was the most wid"
Charles M. Schulz,"November 26, 1922","in Minneapolis, MN, The United States",Charles Monroe Schulz was an American car
William Nicholson,"January 12, 1948","in Lewes, Sussex, The United Kingdom",Librarian Note: There is more than one au
Jorge Luis Borges,"August 24, 1899","in Buenos Aires, Argentina",Jorge Francisco Isidoro Luis Borges Aceve
George Eliot,"November 22, 1819","in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom","In 1819, novelist George Eliot (nee Mary"
George R.R. Martin,"September 20, 1948","in Bayonne, New Jersey, The United States",George R. R. Martin was born September 20
C.S. Lewis,"November 29, 1898","in Belfast, Ireland",CLIVE STAPLES LEWIS (1898–1963) was one o
Martin Luther King Jr.,"January 15, 1929","in Atlanta, Georgia, The United States","Martin Luther King, Jr. was one of the pi"
James Baldwin,"August 02, 1924","in Harlem, New York, The United States",Librarian Note: There is more than one au
