name,born_date,born_location,description,age_at_current_date
Albert Einstein,1879-03-14,"in Ulm, Germany","In 1879, Albert Einstein was born in Ulm,",146
J.K. Rowling,1965-07-31,"in Yate, South Gloucestershire, England, The United Kingdom",See also: Robert GalbraithAlthough she wr,59
Jane Austen,1775-12-16,"in Steventon Rectory, Hampshire, The United Kingdom",Jane Austen was an English novelist whose,249
Marilyn Monroe,1926-06-01,in The United States,Marilyn Monroe (born Norma Jeane Mortenso,98
André Gide,1869-11-22,"in Paris, France",André Paul Guillaume Gide was a French au,155
Thomas A. Edison,1847-02-11,"in Milan, Ohio, The United States",Thomas Alva Edison was an American invent,178
Eleanor Roosevelt,1884-10-11,in The United States,Anna Eleanor Roosevelt was an American po,140
Steve Martin,1945-08-14,"in Waco, Texas, The United States","Stephen Glenn ""Steve"" Martin is an Americ",79
Bob Marley,1945-02-06,"in Nine Mile, Saint Ann, Jamaica","Robert ""Bob"" Nesta Marley OM was a Jamaic",80
Dr. Seuss,1904-03-02,"in Springfield, MA, The United States",Theodor Seuss Geisel was born 2 March 190,121
Douglas Adams,1952-03-11,"in Cambridge, England, The United Kingdom","Douglas Noël Adams was an English author,",73
Elie Wiesel,1928-09-30,"in Sighet, Romania",Eliezer Wiesel was a Romania-born America,96
Friedrich Nietzsche,1844-10-15,"in Röcken bei Lützen, Prussian Province of Saxony, Germany",Friedrich Wilhelm Nietzsche (1844–1900) i,180
Mark Twain,1835-11-30,"in Florida, Missouri, The United States","Samuel Langhorne Clemens, better known by",189
Allen Saunders,1899-04-24,in The United States,"Allen Saunders was an American writer, jo",125
Pablo Neruda,1904-07-12,"in Parral, Chile","Pablo Neruda was the pen name and, later,",120
Ralph Waldo Emerson,1803-05-25,"in Boston, Massachusetts, The United States","in 1803, Ralph Waldo Emerson was born in",221
Mother Teresa,1910-08-26,"in Skopje, Macedonia, the Former Yugoslav Republic of","Blessed Teresa of Calcutta, or Mother Ter",114
Garrison Keillor,1942-08-07,"in Anoka, Minnesota, The United States",Garrison Keillor (born Gary Edward Keillo,82
Jim Henson,1936-09-24,"in Greenville, Mississippi, The United States","James Maury ""Jim"" Henson was the most wid",88
Charles M. Schulz,1922-11-26,"in Minneapolis, MN, The United States",Charles Monroe Schulz was an American car,102
William Nicholson,1948-01-12,"in Lewes, Sussex, The United Kingdom",Librarian Note: There is more than one au,77
Jorge Luis Borges,1899-08-24,"in Buenos Aires, Argentina",Jorge Francisco Isidoro Luis Borges Aceve,125
George Eliot,1819-11-22,"in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom","In 1819, novelist George Eliot (nee Mary",205
George R.R. Martin,1948-09-20,"in Bayonne, New Jersey, The United States",George R. R. Martin was born September 20,76
C.S. Lewis,1898-11-29,"in Belfast, Ireland",CLIVE STAPLES LEWIS (1898–1963) was one o,126
Martin Luther King Jr.,1929-01-15,"in Atlanta, Georgia, The United States","Martin Luther King, Jr. was one of the pi",96
James Baldwin,1924-08-02,"in Harlem, New York, The United States",Librarian Note: There is more than one au,100
